Name,ElementID,DecreedAmount,RequestedAmount,AppropriationDate,ParcelIds
div5800500,14629,0.348656,0.348656,18890507,65800387;65800386;65800388
div5800501,10871,0.0283,0.0283,19030508,65800161;65800160
div5800502,14585,0.0566,0.0566,18990623,65800149
div5800508,21005,0.20376,0.20376,18900917,65801430
div5800509,19248,0.04528,0.04528,19060601,65800536
div5800513,21336,0.0566,0.0566,18900501,65801600
div5800522,22041,0.07075,0.07075,18870501,
div5800528,14621,0.03396,0.03396,18950101,65800394
div5800530,18849,1.40368,1.40368,18881029,65800533;65800531;65800532;65800842
div5800532,19983,0.228664,0.228664,19030507,65800561
div5800533,11626,0.094239,0.094239,18860515,65800447
div5800534,5101,0.04528,0.04528,19110101,65801533
div5800537,20504,0.065939,0.065939,19021115,65801541;65801540;65801542
div5800539,14601,0.7924,0.7924,19000601,65801748;65800402;65801183;65800403;65801800
div5800540,10107,0.1415,0.1415,18930520,65800411
div5800541,14728,0.326865,0.326865,18830628,65800323;65801747;65801798;65800319;65800322;65800327
div5800543,21967,0.12735,0.12735,19221110,65800266
div5800544,21960,0.04245,0.04245,19130601,65800307
div5800545,17903,0.0566,0.0566,18920620,65800509
div5800548,21253,0.07924,0.07924,18880906,65801497;65801498
div5800549,20013,0.363089,0.363089,19070617,65801597
div5800550,19265,0.09339,0.09339,19201231,65801786
div5800551,15703,0.046695,0.046695,19201231,65801785
div5800552,3698,0.0849,0.0849,19200701,65800428
div5800556,10958,0.15848,0.15848,18910503,65800381;65800382
div5800559,532,0.18961,0.18961,18870515,65801460
div5800561,20581,0.1415,0.1415,18920809,65801437
div5800564,14618,0.643259,0.643259,18881002,65800392;65800431;65800430;65800432;65800395
div5800566,16266,0.1415,0.1415,19110610,65800294
div5800568,21654,0.55751,0.55751,18870901,65801555;65801556;65801557;65801560;65800526;65801559;65801558
div5800569,21919,0.410067,0.410067,19060730,65800308
div5800573,20679,0.091975,0.091975,19101231,65800255
div5800574,22052,0.163291,0.163291,18900601,65800257
div5800575,20068,0.07075,0.07075,18900423,65800500
div5800577,21372,0.37639,0.37639,18861020,65801591;65801589
div5800579,8567,0.004811,0.004811,19051101,65801654
div5800580,6110,0.00849,0.00849,18980801,65801642
div5800582,14622,0.1698,0.1698,18900615,65800404
div5800583,20421,0.1415,0.1415,19011002,65801461;65801462
div5800587,13707,0.0566,0.0566,19521010,65801647
div5800588,21239,0.20942,0.20942,18880503,65801604;65801603
div5800590,19644,0.18395,0.18395,18890410,65801671;65800522;65801670
div5800591,21197,0.263756,0.263756,18880601,65800154
div5800593,20286,0.10754,0.10754,18920527,65801172;65801433
div5800595,14373,0.09622,0.09622,19340701,65801634;65801635
div5800596,14718,0.09905,0.09905,18830525,65800352
div5800598,10619,0.046978,0.046978,19040919,65800165
div5800599,21764,0.2264,0.2264,18920515,65801531
div5800602,1052,0.023489,0.023489,18840501,
div5800604,19648,0.1698,0.1698,18870801,65801666
div5800611,10863,0.00566,0.00566,19030507,65800159
div5800612,15892,0.24055,0.24055,18881001,65801438;65801440;65801442;65801441;65800821
div5800613,16849,0.1132,0.1132,19210615,65801636
div5800615,17914,0.0833718,0.0833718,19040603,65800261
div5800617,20335,0.07075,0.07075,18870905,65801661
div5800618,21701,0.4245,0.4245,18900422,65801459;65801458
div5800619,17867,0.073014,0.073014,18900620,65801672
div5800620,7733,0.0283,0.0283,18940920,65800272
div5800622,22000,0.481666,0.481666,18880501,65800267;65800275;65800268;65800269
div5800623,21240,0.412331,0.412331,18860515,65801608;65801605;65801609;65801616;65801615
div5800624,11808,0.04245,0.04245,19500515,65800408
div5800626,21797,0.601092,0.601092,18871012,65801510;65801513;65801811;65801511
div5800627,19241,0.8207,0.8207,18871008,65800554;65801553;65800541;65800544;65800540
div5800628,19282,0.35375,0.35375,18900525,65800534
div5800630,14609,0.1132,0.1132,18900715,65800399;65800400
div5800631,19852,0.075278,0.075278,19070425,65800555;65800556;65801042;65800557
div5800634,11736,0.4245,0.4245,18860510,65800426
div5800636,1051,0.035375,0.035375,18890508,65800351
div5800640,20440,0.15565,0.15565,19010901,65801543
div5800641,15945,0.075278,0.075278,18910601,65800539
div5800643,14711,0.510532,0.510532,18830525,65800378;65800384
div5800647,21098,0.046978,0.046978,19020620,65801665
div5800649,15602,0.67354,0.67354,18870701,65801599;65801601;65801600;65801602
div5800651,8750,0.0,0.0,19010601,65801651
div5800653,16517,0.21225,0.21225,19010601,65800226;65801652
div5800657,13158,0.12735,0.12735,18900620,65801675
div5800659,18828,0.035375,0.035375,18900620,65801676;65801677
div5800660,10962,0.01698,0.01698,18890520,65800427
div5800662,21399,0.509117,0.509117,18880501,65801575;65801577;65801576
div5800663,18950,0.22074,0.22074,18981012,65801610
div5800664,17283,0.1415,0.1415,18880525,65800844;65801763
div5800665,19133,0.1415,0.1415,19621004,65800155;65800156
div5800670,21185,0.0262058,0.0262058,18921001,
div5800671,19655,0.0566,0.0566,18950501,65801669
div5800676,21982,0.0566,0.0566,18850617,
div5800677,21141,0.0283,0.0283,19500912,65801549;65801550
div5800684,14719,0.2264,0.2264,18880502,65800342;65800345;65800344
div5800685,21127,0.1981,0.1981,19310925,65800289;65800290;65801709
