Name,CalYear,Region,SubRegion,CropType,IrrigType,LandSize,DecreedRate,ParcelRatioToDiv,ElementIDs
par65801552,2010,Div6,Dist58,1,1,4254047.24,5800920=1.34131427187,5800920=0.627765086406,41295; 41454; 41451; 41450; 41449; 41448; 41447; 41446; 41444; 41443; 41442; 41440; 41307; 41301; 41298; 41297; 41296; 17419; 41294; 41292; 41291; 41290; 41289; 41288; 41287; 41286; 41266; 41265; 41264; 41453; 41455; 41261; 41458; 77780; 71772; 71770; 71769; 41569; 41502; 41501; 41498; 41497; 41490; 41483; 41482; 41481; 41479; 41476; 41475; 41474; 41473; 41472; 41471; 41470; 41469; 41468; 41466; 41465; 41463; 41461; 41262; 77781; 40038; 40039; 39852; 40037; 40036; 40009; 40016; 40033; 40018; 40032; 40031; 40019; 40029; 40028; 41259; 40026; 40025; 40023; 40024; 39840; 40043; 40044; 41258; 40046; 39847; 40042; 39843; 39842; 41460; 41257; 40041; 40045; 39855; 39835; 39834; 40010; 39841; 40049; 40048; 41256; 16987; 40006; 41260; 39836; 75922; 40021; 41485; 75921; 40034; 41389; 41459; 71761; 41457; 40035; 39996; 41478; 41267; 41505; 41445; 41480; 71771; 40027; 41456; 41441; 40112; 40020; 40030; 39844
par65800153,2010,Div6,Dist58,1,1,2378003.501,5800863=0.3396,5800863=1.0,76824; 7120; 69786; 6755; 6756; 69779; 63181; 8368; 8218; 6142; 6762; 7155; 6761; 6758; 8225; 6736; 6752; 6735; 6725; 6754; 7123; 7124; 6785; 6451; 6415; 6553; 69785; 6636; 7131; 69780; 6589; 6767; 7127; 6786; 6734; 6765; 6419; 7125; 63154; 6459; 1054
par65800378,2010,Div6,Dist58,1,1,1872819.127,5800643=0.379996910928,5800643=0.744315558923,2822; 10822; 10961; 36480; 10879; 10857; 10974; 10854; 10851; 10855; 9214; 75336; 9221; 9213; 69953; 74584; 42901; 10972; 70025; 10828; 10858; 10824; 10966; 10951; 10825; 10950; 11003; 10956; 11077; 10973; 70026; 10946; 76829; 10818
par65800163,2010,Div6,Dist58,1,1,1701732.513,5804685=0.28033283689,5804685=0.321302431194,11120; 11143; 11115; 11114; 11111; 11125; 10723; 33810; 11095; 11091; 33813; 11090; 33818; 11116; 11110; 10719; 10720; 33802; 11238; 10725; 11085; 11084; 11230; 11122; 11121; 11222; 11220; 10722; 11118; 70046; 11217; 11233; 11214; 10727; 11215; 33821; 11088; 11225; 11227; 33836; 10716; 11270; 10718; 71334; 11226
par65800392,2010,Div6,Dist58,1,1,1581490.961,5800564=0.324413905785,5800564=0.504328592037,76828; 75319; 9097; 9177; 9036; 9195; 9166; 69948; 9170; 75320; 75321; 9073; 9040; 75322; 69947; 9077; 8621; 69939; 9194; 8634; 9067; 9043; 9175; 9172; 76827; 8604; 69940; 8600; 8627; 8611
par65800278,2010,Div6,Dist58,1,1,1115910.209,5800879=0.541416172944,5800879=0.908548868861,1552; 10182; 10175; 10177; 10170; 10172; 10181; 10078; 7708; 10070; 10174; 10185; 10130; 10176; 10131; 10152; 10221; 10180; 10132; 1462; 10080; 10053; 10179; 10249; 10173; 10171; 10200; 10161; 10081; 10072; 10048; 10097
par65801430,2010,Div6,Dist58,1,1,1093110.441,5800508=0.20376,5800508=1.0,69748; 5612; 69747; 5637; 5690; 5727; 5640; 56869; 5635; 5641; 5608; 5634; 5695; 5614; 5693; 5797; 5687; 5597; 5744; 5643; 5691; 5733; 5763; 5632; 5610; 5663; 5584; 5688; 5736
par65800533,2010,Div6,Dist58,1,1,1087239.052,5800530=0.692868002877,5800530=0.493608231845,39496; 39494; 39871; 39873; 39588; 39522; 39874; 39501; 39500; 39499; 39497; 39870; 39879; 39861; 39491; 39490; 39881; 39329; 39322; 39498; 39985; 39931; 39492; 39878; 39493; 39521; 39875; 39929; 39859; 39948; 39924; 75898; 1081; 39885; 39926; 39502; 39857; 39927; 39883
par65800554,2010,Div6,Dist58,1,3,1087212.267,5800627=0.260799431065,5800627=0.317776813775,41633; 41626; 58951; 41696; 41646; 41617; 41641; 67585; 23223; 41644; 41669; 41663; 46380; 41597; 76638; 41592; 41986; 41629; 67581; 41645; 42042; 77826
par65801599,2010,Div6,Dist58,1,1,1037653.514,5800649=0.319277040267,5800649=0.474028328335,2120; 30104; 29755; 29820; 29750; 29749; 29748; 29747; 29746; 29745; 29744; 29743; 29742; 29740; 29739; 30106; 30107; 30117; 29730; 30153; 30164; 30613; 71025; 29751; 29798; 71026; 29705; 29736; 30159; 73956; 30103; 30105; 30194; 29714; 29738; 29712; 30156
par65801679,2010,Div6,Dist58,1,1,1003409.799,5800688=0.162725,5800688=1.0,18633; 18631; 18729; 18703; 18623; 18663; 18699; 18620; 18621; 70368; 18650; 18733; 18698; 18618; 18514; 18627; 18672; 18680; 18017; 18526; 18705; 18675; 18626; 18702; 22179; 18701
par65801510,2010,Div6,Dist58,1,1,997047.7973,5800626=0.341267703855,5800626=0.567746208326,26170; 70842; 26270; 25982; 25985; 25987; 26264; 74684; 25983; 26287; 25950; 26164; 25954; 25984; 26301; 26286; 26288; 26190; 74683; 26299
par65801553,2010,Div6,Dist58,1,1,988420.0617,5800627=0.237101252045,5800627=0.288901245334,41503; 41535; 40080; 41499; 41515; 41492; 41488; 41487; 41486; 41509; 41532; 41538; 40089; 40087; 40084; 41565; 41566; 41510; 41516; 41462; 41513; 40085; 41541; 41507; 40040; 40086; 41495; 41504; 41533; 40091; 40083; 40081; 41496; 41546; 41534; 41508
par65800267,2010,Div6,Dist58,1,1,975642.9409,5800622=0.3883911794,5800622=0.806349585398,10257; 10141; 10255; 11678; 11674; 10215; 10226; 10284; 10238; 11676; 10235; 10208; 69995; 10212; 10209; 10246; 11703; 10202; 10210; 10228; 11637; 69997; 10219; 13757; 11685; 11686; 10223; 11675; 10134; 10248; 11659
par65800538,2010,Div6,Dist58,1,1,968200.0308,5800920=0.305276468753,5800920=0.14287621686,41588; 41572; 41581; 41576; 41573; 41574; 41570; 41631; 71767; 41598; 41601; 41604; 41577; 41584; 41632; 41571; 41590; 41600; 41579; 71768; 41585; 41603; 41609; 41596; 41591; 41606; 41599; 41575; 41435; 41589
par65800154,2010,Div6,Dist58,1,1,901955.6623,5800591=0.263756,5800591=1.0,6174; 5778; 6454; 6452; 6539; 74549; 6544; 6552; 6574; 6546; 6551; 74550; 6545; 6924; 6575; 6937; 6547; 6555; 6570
par65801578,2010,Div6,Dist58,1,1,879028.4282,5800714=0.26366732028,5800714=0.366950233989,26840; 26838; 26914; 26845; 26843; 26842; 26841; 26839; 26836; 70871; 26837; 27311; 27184; 27196; 27201; 26834; 70872; 27185; 27191; 76894
par65801507,2010,Div6,Dist58,1,1,851561.3112,5800783=0.325835107654,5800783=0.486627558931,25563; 25443; 25560; 25447; 21394; 25559; 25577; 25585; 75619; 25536; 25555; 25444; 25547; 25455; 25935; 25595; 25572; 25440; 25567; 25569
par65801431,2010,Div6,Dist58,1,1,834135.7772,5801074=0.160178;5800807=0.227249,5801074=1.0;5800807=1.0,9851; 8143; 8166; 75306; 69877; 9871; 8036; 9841; 9843; 69981; 8140; 8014; 8015; 9840; 69876
par65800541,2010,Div6,Dist58,3,3,832685.861,5800627=0.199743882033,5800627=0.243382334633,40108; 41537; 41512; 40093; 40114; 40101; 71773; 40088; 41517; 75903; 41539; 71774; 40090; 41522; 41536; 40111; 41545; 41530; 40106; 40082; 41547
par65801591,2010,Div6,Dist58,1,1,827569.1412,5800577=0.284790749033,5800577=0.75663739481,565; 26864; 26913; 26873; 26869; 26865; 26768; 26774; 26867; 26777; 26776; 26770; 2637; 26866; 29754; 26872; 26877; 26758; 26868
par65800515,2010,Div6,Dist58,1,1,797674.8004,5800897=0.436766321768,5800897=0.32767386267,41243; 39774; 39780; 41271; 39830; 39829; 39787; 39768; 41703; 39776; 41205; 39777; 39775; 41194; 39828; 39764; 39822; 39819; 41200; 39772; 41246; 39825; 40118; 41254; 71760
par65800431,2010,Div6,Dist58,1,1,791017.0947,5800826=0.22923;5800564=0.162262669571,5800826=1.0;5800564=0.252250912262,10635; 10628; 70017; 10680; 10633; 10630; 70018; 10658; 10625; 10645; 9203; 10655; 10646; 9202; 10671; 9206; 10663; 9228; 10622; 9124; 9119; 9165; 10763; 10653
par65801573,2010,Div6,Dist58,1,1,783811.5462,5800714=0.235106719374,5800714=0.32720196646,27037; 27030; 27039; 27038; 27007; 27036; 27139; 27044; 27043; 27004; 27034; 27031; 27028; 27047; 27011; 27244; 27041; 27008; 27033; 27009; 70879; 27133
par65801748,2010,Div6,Dist58,1,1,781921.3721,5800539=0.196206231489,5800539=0.24761008517,8523; 8540; 8551; 69901; 69907; 3873; 8518; 3872; 8549; 8536; 3948; 6263; 8575; 8515; 8543; 8521; 8511; 3875; 69916; 8646; 3868; 3867; 7515; 8571
par65800528,2010,Div6,Dist58,1,1,780802.2394,5800897=0.42752776189,5800897=0.320742846128,39654; 39739; 39740; 39741; 39742; 39743; 39744; 39718; 39695; 39745; 39690; 39738; 39648; 39647; 39646; 39749; 39753; 39747; 39688; 39720; 39653; 39751; 39694; 39788; 39793; 39650; 39750; 39737; 39649; 39686; 71672
par65801764,2010,Div6,Dist58,1,1,765222.425,5800916=0.310337642223,5800916=0.748021447805,40455; 40484; 40482; 40480; 40462; 40461; 40457; 40454; 40489; 40492; 40483; 40511; 40408; 40402; 40400; 40451; 40493; 40404; 40413; 40406; 40478; 40501; 40481; 40449; 40490; 40411; 40407; 40487; 38992; 40508
par65800379,2010,Div6,Dist58,1,1,763133.914,5800945=0.179041175996,5800945=0.542585190514,75340; 10993; 10957; 11359; 11001; 10954; 10992; 10948; 10996; 36483; 10997; 10958; 75339; 11006; 11000; 11362; 10998
