AreaSqKm,Elevation,Reach,Shape_Leng,Shape_Area
0.073,0,14050001002564,827.2241339,38658.58149
0.225,0,14050001002589,1447.962935,106267.7923
0.006,0,14050001008459,519.4557139,12392.61726
3.104,0,14050001021460,12248.72592,2918236.554
0.046,0,14050001002540,568.0250668,15060.91827
0.126,0,14050001002491,751.5220666,25674.26378
0.023,0,14050001002588,613.7339561,17555.98352
0.07,0,14050003002065,1193.684103,83494.07735
0.035,0,14050001002538,563.3944024,14839.69709
3.917,0,14050001002411,467.8234036,10485.47354
0.027,0,14050001002442,666.3405844,26836.13282
0.005,0,14050002005802,566.2129675,13821.9078
0.033,0,14050001002567,587.8985784,15232.30195
2.123,0,14050001008072,6896.495405,2055645.311
0.018,0,14050001002576,577.4386476,15520.94654
0.006,0,14050001009030,529.9277118,13314.70954
0.137,0,14050001002507,640.7271532,18350.132
0.17,0,14050001002520,1388.573426,100006.5507
0.032,0,14050002005844,638.8366838,19594.05166
0.238,0,14050002001448,2065.201575,186831.9669
0.232,0,14050001002505,1949.136729,165988.1727
0.334,0,14050001002557,2323.777078,249572.2717
0.01,0,14050001010173,607.7418632,15215.18739
0.023,0,14050001002593,509.3872541,12134.72361
0.023,0,14050001002487,670.1301822,20983.31188
0.06,0,14050003002058,660.7975265,20081.90935
0.025,0,14050001002539,548.7650356,13591.73861
0.745,0,14050001011085,4135.368157,675775.4416
0.105,0,14050002001452,634.3870088,16742.69972
0.038,0,14050001002500,640.8799845,25011.80596
0.021,0,14050001002526,600.8015012,15245.57584
0.097,0,14050002001447,821.1854714,28210.00144
0.216,0,14050001002556,1877.353755,216610.4617
0.025,0,14050001002535,506.608151,12044.41945
0.074,0,14050001002414,889.1218268,35309.83505
0.09,0,14050001002551,1126.723926,58460.96638
0.025,0,14050001002447,784.7893195,28076.54907
0.016,0,14050001002516,480.4899814,10605.73141
0.095,0,14050001002506,865.2469749,37278.05949
0.017,0,14050001008572,925.2003875,51325.29745
0.061,0,14050001009657,799.3198609,38168.54765
0.125,0,14050001002406,650.5715303,17131.7044
0.309,0,14050001002504,2460.410425,266017.9421
0.063,0,14050003002069,749.7316808,31646.50446
0.048,0,14050002001455,607.3282044,16095.78793
0.098,0,14050001002495,1548.018279,126853.8433
0.034,0,14050002001454,805.4394446,39093.61362
0.029,0,14050001002434,620.3393626,12816.63488
0.203,0,14050002001457,1886.08461,246624.5777
0.02797341,2607.8688,14050001002532,525.1781425,12924.88447
0.03387369,2558.796,14050001002549,985.7179689,37456.11297
0.0440252,2629.2048,14050001002531,640.4301981,22744.40534
0.27704102,1924.5072,14050001002443,720.1335044,21967.28578
0.11646876,3044.0376,14050001002450,1163.564312,77042.03448
0.05513374,2292.7056,14050003011311,830.5995917,42402.28704
0.20246742,2935.224,14050001002587,2160.786761,166011.8506
0.14413498,2963.5704,14050001002560,1513.078001,108933.4906
0.1137711,3031.8456,14050001002569,1016.627768,64090.93092
0.14861971,2035.4544,14050001002488,1471.359755,97285.5706
0.65336412,2453.64,14050001002419,4002.390401,615873.2864
0.05970959,2520.696,14050001002568,836.6154117,35987.65363
0.08179698,3335.4264,14050001002559,1121.32879,76098.53205
0.04882419,2663.952,14050001002533,630.5996968,15148.73511
0.11748174,3151.0224,14050001002422,1468.208236,123207.6981
0.09728111,3010.8144,14050001002428,948.0571988,49348.82371
0.031519,2956.56,14050001002453,598.4147152,13762.50473
0.02742933,3106.5216,14050001002561,611.5476616,15196.9742
0.04851702,2678.5824,14050001002550,733.1609123,31120.7005
0.05526585,2970.8856,14050001002455,645.5350304,18589.90109
0.03244457,3134.5632,14050001002439,541.3655461,13565.34609
0.0372543,3236.976,14050001002601,637.5535865,18149.01939
0.52222474,3125.724,14050001002596,3602.781063,488296.288
0.04552028,2955.6456,14050001002591,830.4534045,21754.13491
0.13366663,2862.072,14050001002562,1468.25656,102761.4407
