Name,TotalDecRate,ApproDate,TotalReqRate
div5800500,0.348656,18890507,0.348656
div5800501,0.0283,19030508,0.0283
div5800502,0.0566,18990623,0.0566
div5800503,0.035375,19070101,0.035375
div5800505,0.102163,19010722,0.102163
div5800506,0.4245,19531020,0.4245
div5800507,0.0421953,19040601,0.0421953
div5800508,0.20376,18900917,0.20376
div5800509,0.04528,19060601,0.04528
div5800511,0.01981,18910502,0.01981
div5800512,0.0849,19450714,0.0849
div5800513,0.0566,18900501,0.0566
div5800514,0.033111,19050611,0.033111
div5800515,0.01132,19050601,0.01132
div5800516,0.04245,19520201,0.04245
div5800517,0.03396,19020502,0.03396
div5800518,0.0566,18900501,0.0566
div5800519,0.122256,19030630,0.122256
div5800520,0.16697,19340501,0.16697
div5800522,0.07075,18870501,0.07075
div5800523,0.080655,19141005,0.080655
div5800524,0.1311139,19150518,0.1311139
div5800525,0.0835133,19020630,0.0835133
div5800528,0.03396,18950101,0.03396
div5800530,1.40368,18881029,1.40368
div5800531,0.00496665,19120612,0.00496665
div5800532,0.228664,19030507,0.228664
div5800533,0.094239,18860515,0.094239
div5800534,0.04528,19110101,0.04528
div5800535,0.07641,19340601,0.07641
div5800537,0.065939,19021115,0.065939
div5800539,0.7924,19000601,0.7924
div5800540,0.1415,18930520,0.1415
div5800541,0.326865,18830628,0.326865
div5800543,0.12735,19221110,0.12735
div5800544,0.04245,19130601,0.04245
div5800545,0.0566,18920620,0.0566
div5800547,0.0,19400515,0.0
div5800548,0.07924,18880906,0.07924
div5800549,0.363089,19070617,0.363089
div5800550,0.09339,19201231,0.09339
div5800551,0.046695,19201231,0.046695
div5800552,0.0849,19200701,0.0849
div5800554,0.069618,19610625,0.069618
div5800555,0.016414,19110716,0.016414
div5800556,0.15848,18910503,0.15848
div5800557,0.11886,19010105,0.11886
div5800558,0.1415,19110105,0.1415
div5800559,0.18961,18870515,0.18961
div5800560,0.0283,19060608,0.0283
div5800561,0.1415,18920809,0.1415
div5800563,0.0283,19100601,0.0283
div5800564,0.643259,18881002,0.643259
div5800565,0.1132,19310601,0.1132
div5800566,0.1415,19110610,0.1415
div5800568,0.55751,18870901,0.55751
div5800569,0.410067,19060730,0.410067
div5800570,0.4245,19580829,0.4245
div5800573,0.091975,19101231,0.091975
div5800574,0.163291,18900601,0.163291
div5800575,0.07075,18900423,0.07075
div5800577,0.37639,18861020,0.37639
div5800578,0.069335,19050702,0.069335
div5800579,0.004811,19051101,0.004811
div5800580,0.00849,18980801,0.00849
div5800581,0.0283,18950508,0.0283
div5800582,0.1698,18900615,0.1698
div5800583,0.1415,19011002,0.1415
div5800587,0.0566,19521010,0.0566
div5800588,0.20942,18880503,0.20942
div5800589,0.2264,19450615,0.2264
div5800590,0.18395,18890410,0.18395
div5800591,0.263756,18880601,0.263756
div5800592,0.0566,19190510,0.0566
div5800593,0.10754,18920527,0.10754
div5800595,0.09622,19340701,0.09622
div5800596,0.09905,18830525,0.09905
div5800598,0.046978,19040919,0.046978
div5800599,0.2264,18920515,0.2264
div5800601,0.00022074,19530925,0.00022074
div5800602,0.023489,18840501,0.023489
div5800603,0.0566,19010701,0.0566
div5800604,0.1698,18870801,0.1698
div5800606,0.0046978,19000811,0.0046978
div5800607,0.1132,19010810,0.1132
div5800608,0.009339,18991031,0.009339
div5800609,0.046978,18891031,0.046978
div5800611,0.00566,19030507,0.00566
div5800612,0.24055,18881001,0.24055
div5800613,0.1132,19210615,0.1132
div5800614,0.0,18970601,0.0
div5800615,0.0833718,19040603,0.0833718
div5800617,0.07075,18870905,0.07075
div5800618,0.4245,18900422,0.4245
div5800619,0.073014,18900620,0.073014
div5800620,0.0283,18940920,0.0283
div5800621,0.0566,19501214,0.0566
