,dec_af,dec_cfs,div,lat,long,source,status,strname,strtype,wd,wdid
0,,12.32,6,40.112295,-106.940121,Bear River,A,ACTON D,1,58,5800500
1,,12.32,6,40.112295,-106.940121,Bear River,A,ACTON D,1,58,5800500
2,,12.32,6,40.112295,-106.940121,Bear River,A,ACTON D,1,58,5800500
3,,12.32,6,40.112295,-106.940121,Bear River,A,ACTON D,1,58,5800500
4,,12.32,6,40.112295,-106.940121,Bear River,A,ACTON D,1,58,5800500
5,,1.0,6,40.062875,-106.845776,Five Pine Mesa Creek,A,ADOBE DITCH,1,58,5800501
6,,2.0,6,40.433795,-106.841358,Agate Creek,A,AGATE CREEK DITCH,1,58,5800502
7,,2.0,6,40.433795,-106.841358,Agate Creek,A,AGATE CREEK DITCH,1,58,5800502
8,,1.25,6,40.214884,-106.775288,Morrison Creek,A,ALAMO DITCH 1,1,58,5800503
9,,,6,40.212918,-106.777175,Morrison Creek,H,ALAMO DITCH 2,1,58,5800504
10,,3.61,6,40.472781,-106.802058,Fish Creek,A,ALBERT A MANN D,1,58,5800505
11,,3.61,6,40.472781,-106.802058,Fish Creek,A,ALBERT A MANN D,1,58,5800505
12,,3.61,6,40.472781,-106.802058,Fish Creek,A,ALBERT A MANN D,1,58,5800505
13,,3.61,6,40.472781,-106.802058,Fish Creek,A,ALBERT A MANN D,1,58,5800505
14,,3.61,6,40.472781,-106.802058,Fish Creek,A,ALBERT A MANN D,1,58,5800505
15,,3.61,6,40.472781,-106.802058,Fish Creek,A,ALBERT A MANN D,1,58,5800505
16,,3.61,6,40.472781,-106.802058,Fish Creek,A,ALBERT A MANN D,1,58,5800505
17,,15.0,6,40.138346,-107.033684,Mill Creek,A,ALLEN BASIN SUPPLY D,1,58,5800506
18,,1.491,6,40.466999,-106.815738,Fish Creek,A,ALMA M BAER FEEDER DITCH,1,58,5800507
19,,1.491,6,40.466999,-106.815738,Fish Creek,A,ALMA M BAER FEEDER DITCH,1,58,5800507
20,,1.491,6,40.466999,-106.815738,Fish Creek,A,ALMA M BAER FEEDER DITCH,1,58,5800507
21,,1.491,6,40.466999,-106.815738,Fish Creek,A,ALMA M BAER FEEDER DITCH,1,58,5800507
22,,1.491,6,40.466999,-106.815738,Fish Creek,A,ALMA M BAER FEEDER DITCH,1,58,5800507
23,,1.491,6,40.466999,-106.815738,Fish Creek,A,ALMA M BAER FEEDER DITCH,1,58,5800507
24,,7.2,6,40.212514,-107.081291,Oak Creek,A,ALPHA DITCH,1,58,5800508
25,,7.2,6,40.212514,-107.081291,Oak Creek,A,ALPHA DITCH,1,58,5800508
26,,7.2,6,40.212514,-107.081291,Oak Creek,A,ALPHA DITCH,1,58,5800508
27,,1.6,6,40.420164,-106.802585,Walton Creek,A,ANDY MORRISON D,1,58,5800509
28,,,6,40.520534,-106.87454,Slate Creek,H,ANITA DITCH,1,58,5800510
29,,0.7,6,40.214767,-106.949881,Hunt Creek,A,ANNAS DITCH,1,58,5800511
30,,2.0,6,40.684301,-106.938346,Elk River,A,ASHER DITCH,1,58,5800513
31,,2.0,6,40.684301,-106.938346,Elk River,A,ASHER DITCH,1,58,5800513
32,,2.0,6,40.684301,-106.938346,Elk River,A,ASHER DITCH,1,58,5800513
33,,1.17,6,40.57871,-107.041754,West Salt Creek,A,AULTMAN DITCH 2,1,58,5800514
34,,0.4,6,40.579874,-107.022756,Salt Creek,A,AULTMAN DITCH 4,1,58,5800515
35,,1.5,6,40.525508,-106.946878,Trull Creek,A,BAALHORN DITCH,1,58,5800516
36,,1.2,6,40.485051,-106.821522,Spring Creek,A,BAER DITCH,1,58,5800517
37,,2.0,6,40.502411,-106.904729,Yampa River,U,BAMBER DITCH,1,58,5800518
38,,4.32,6,40.407767,-106.856145,Barber Creek,A,BARBER DITCH,1,58,5800519
39,,4.32,6,40.407767,-106.856145,Barber Creek,A,BARBER DITCH,1,58,5800519
40,,5.9,6,40.399957,-106.81469,Yampa River,A,BARBER SEEP WASTE D,1,58,5800520
41,,,6,40.490532,-106.83157,Soda Creek,H,BARNUM DITCH,1,58,5800521
42,,2.5,6,40.209113,-106.958731,Hunt Creek,A,BARR DITCH,1,58,5800522
43,,2.85,6,40.625956,-107.026511,Chimney Creek,A,BARTH DRAKE DITCH,1,58,5800523
