Name,CalYear,Region,SubRegion,CropType,IrrigType,LandSize,DecreedRate,ParcelRatioToDiv
par65801552,2010,Div6,Dist58,1,1,4254047.24,5800920=1.34131427187,5800920=0.627765086406
par65800153,2010,Div6,Dist58,1,1,2378003.501,5800863=0.3396,5800863=1.0
par65800378,2010,Div6,Dist58,1,1,1872819.127,5800643=0.379996910928,5800643=0.744315558923
par65800163,2010,Div6,Dist58,1,1,1701732.513,5804685=0.28033283689,5804685=0.321302431194
par65800392,2010,Div6,Dist58,1,1,1581490.961,5800564=0.324413905785,5800564=0.504328592037
par65800278,2010,Div6,Dist58,1,1,1115910.209,5800879=0.541416172944,5800879=0.908548868861
par65801430,2010,Div6,Dist58,1,1,1093110.441,5800508=0.20376,5800508=1.0
par65800533,2010,Div6,Dist58,1,1,1087239.052,5800530=0.692868002877,5800530=0.493608231845
par65800554,2010,Div6,Dist58,1,3,1087212.267,5800627=0.260799431065,5800627=0.317776813775
par65801599,2010,Div6,Dist58,1,1,1037653.514,5800649=0.319277040267,5800649=0.474028328335
par65801679,2010,Div6,Dist58,1,1,1003409.799,5800688=0.162725,5800688=1.0
par65801510,2010,Div6,Dist58,1,1,997047.7973,5800626=0.341267703855,5800626=0.567746208326
par65801553,2010,Div6,Dist58,1,1,988420.0617,5800627=0.237101252045,5800627=0.288901245334
par65800267,2010,Div6,Dist58,1,1,975642.9409,5800622=0.3883911794,5800622=0.806349585398
par65800538,2010,Div6,Dist58,1,1,968200.0308,5800920=0.305276468753,5800920=0.14287621686
par65800154,2010,Div6,Dist58,1,1,901955.6623,5800591=0.263756,5800591=1.0
par65801578,2010,Div6,Dist58,1,1,879028.4282,5800714=0.26366732028,5800714=0.366950233989
par65801507,2010,Div6,Dist58,1,1,851561.3112,5800783=0.325835107654,5800783=0.486627558931
par65801431,2010,Div6,Dist58,1,1,834135.7772,5801074=0.160178;5800807=0.227249,5801074=1.0;5800807=1.0
par65800541,2010,Div6,Dist58,3,3,832685.861,5800627=0.199743882033,5800627=0.243382334633
par65801591,2010,Div6,Dist58,1,1,827569.1412,5800577=0.284790749033,5800577=0.75663739481
par65800406,2010,Div6,Dist58,1,1,801361.646,5800539=0.201084347137,5800539=0.253766212945
par65800515,2010,Div6,Dist58,1,1,797674.8004,5800897=0.436766321768,5800897=0.32767386267
par65800431,2010,Div6,Dist58,1,1,791017.0947,5800826=0.22923;5800564=0.162262669571,5800826=1.0;5800564=0.252250912262
par65801573,2010,Div6,Dist58,1,1,783811.5462,5800714=0.235106719374,5800714=0.32720196646
par65801748,2010,Div6,Dist58,1,1,781921.3721,5800539=0.196206231489,5800539=0.24761008517
par65800528,2010,Div6,Dist58,1,1,780802.2394,5800897=0.42752776189,5800897=0.320742846128
par65801764,2010,Div6,Dist58,1,1,765222.425,5800916=0.310337642223,5800916=0.748021447805
par65800379,2010,Div6,Dist58,1,1,763133.914,5800945=0.179041175996,5800945=0.542585190514
par65800339,2010,Div6,Dist58,1,1,732820.3148,5800821=0.259767787182,5800821=0.865950353965
par65801450,2010,Div6,Dist58,1,1,728044.1203,5800944=0.457307893941,5800944=0.432066565202
par65801610,2010,Div6,Dist58,1,1,726911.9089,5800663=0.22074,5800663=1.0
par65800426,2010,Div6,Dist58,1,1,703608.6717,5800634=0.4245,5800634=1.0
par65800402,2010,Div6,Dist58,1,1,697498.5571,5800539=0.175022154709,5800539=0.220876015533
par65800548,2010,Div6,Dist58,1,1,696668.7564,5800920=0.219661816855,5800920=0.102806644446
par65801663,2010,Div6,Dist58,1,1,690992.2171,5800917=0.185931,5800917=1.0
par65800385,2010,Div6,Dist58,1,1,689348.7522,5800763=0.277459390196,5800763=0.314843247746
par65800318,2010,Div6,Dist58,1,1,673731.8646,5800798=0.114164594311,5800798=0.43237777113
par65800329,2010,Div6,Dist58,1,1,669127.3078,5800798=0.113384347173,5800798=0.429422726087
par65801676,2010,Div6,Dist58,1,1,652908.6632,5800659=0.029638179687,5800659=0.837828401046
par65800384,2010,Div6,Dist58,1,1,643343.6813,5800945=0.150936824004;5800643=0.130535089072,5800945=0.457414809486;5800643=0.255684441077
par65800518,2010,Div6,Dist58,1,1,642256.8019,5800897=0.351667297069,5800897=0.263830281462
par65800164,2010,Div6,Dist58,1,1,634687.127,5804685=0.104554412336,5804685=0.119834648157
par65801478,2010,Div6,Dist58,1,1,618349.0624,5800868=0.22974382083,5800868=0.343451208405
par65800387,2010,Div6,Dist58,1,1,613652.369,5800500=0.138253313593,5800500=0.396532150867
par65801601,2010,Div6,Dist58,1,1,611221.4754,5800649=0.188067578416,5800649=0.279222582796
par65801438,2010,Div6,Dist58,1,1,591192.7879,5800612=0.181495484579,5800612=0.754502118393
par65801575,2010,Div6,Dist58,1,1,585623.0748,5800662=0.216494992121,5800662=0.425236226881
par65801577,2010,Div6,Dist58,1,1,582635.9264,5800662=0.215390693644,5800662=0.423067180323
par65800386,2010,Div6,Dist58,1,1,574130.6664,5800500=0.129349239203,5800500=0.370993871331
par65801460,2010,Div6,Dist58,1,1,573628.5254,5800559=0.18961,5800559=1.0
par65800531,2010,Div6,Dist58,1,1,567180.9381,5800530=0.361449051272,5800530=0.257501033905
par65801532,2010,Div6,Dist58,1,1,561399.6026,5801021=0.283,5801021=1.0
par65800555,2010,Div6,Dist58,1,1,554153.342,5800631=0.0444433062715,5800631=0.590389041573
par65801448,2010,Div6,Dist58,1,1,550966.3814,5800944=0.346079679081,5800944=0.326977645057
par65800297,2010,Div6,Dist58,1,1,550353.9559,5800722=0.167201368974,5800722=0.865033028127
par65800264,2010,Div6,Dist58,1,1,547155.302,5803547=4.8279094498;5800934=0.17826902439,5803547=0.789537904834;5800934=0.822357547308
par65800401,2010,Div6,Dist58,1,1,542383.9084,5800738=0.13870992076,5800738=0.474483119801
